original_column,canonical_column
Capital Business Park,Capital Business Park
Capital Cyberscape,Capital Cyberscape
Captain Chandan Lal Marg,Captain Chandan Lal Marg
Central Bank Of India Sohna Rd,Central Bank Of India Sohna Rd
Central Park Flower Valley,Central Park Flower Valley
Central Park II Road,Central Park II Road
Central Park Resorts,Central Park Resorts
"Central Park, Sohna Rd","Central Park, Sohna Rd"
Central Peripheral Road,Central Peripheral Road
Central Plaza Mall,Central Plaza Mall
Centrum Plaza,Centrum Plaza
Chauma Road,Chauma Road
Cherub's Cradle,Cherub's Cradle
Children Park,Children Park
Chirag Hospital,Chirag Hospital
Choice pharmacy,Choice pharmacy
Citibank ATM,Citibank ATM
City Hospital,City Hospital
City Square,City Square
Civil Hospital,Civil Hospital
Cloudnine Hospital Sector 47,Cloudnine Hospital Sector 47
CoNexus.Life B35,CoNexus.Life B35
Colonel's Central Academy,Colonel's Central Academy
Conscient One,Conscient One
Conscient One Mall,Conscient One Mall
Cool Deck Coffee,Cool Deck Coffee
Country Inn,Country Inn
Country Inn & Suites By Radisson,Country Inn & Suites by Radisson
Country Inn & Suites by Radisson,Country Inn & Suites by Radisson
Country Inn and Suites by Radisson,Country Inn and Suites by Radisson
Creative Tennis Academy,Creative Tennis Academy
Cricket Academy,Cricket Academy
Cyber ​​Park,Cyber ​​Park
DLC Cricket Ground,DLC Cricket Ground
DLF Corporate Greens,DLF Corporate Greens
DLF Corporate Park,DLF Corporate Park
DLF Cyber City,DLF Cyber City
DLF Golf and Country Club,DLF Golf and Country Club
DLF Grand Mall,DLF Grand Mall
DLF Linear Park,DLF Linear Park
DLF Site central office,DLF Site central office
DLF World Tech Park,DLF World Tech Park
DLF5 Summit Plaza,DLF5 Summit Plaza
DPG Degree College,DPG Degree College
DPG Institute of Technology,DPG Institute of Technology
DPGITM Engineering College Sector 34,DPGITM Engineering College Sector 34
DPS,DPS
DPS International Edge,DPS International Edge
CD International School,DPS International School
DPS International School,DPS International School
DPS Manesar,DPS Manesar
DPS Sector 103,DPS Sector 103
DPSG Palam Vihar,DPSG Palam Vihar
DPSG Palam Vihar Gurugram,DPSG Palam Vihar Gurugram
DSD College,DSD College
Damdama Lake,Damdama Lake
Damdama Lake Rd,Damdama Lake Rd
Damdama More,Damdama More
Daultabad Stadium,Daultabad Stadium
Daultabad Village Park,Daultabad Village Park
De Adventure Amusement Park,De Adventure Amusement Park
De Adventure Park,De Adventure Park
Deerika HyperMart,Deerika HyperMart
Delhi,Delhi
Delhi - Jaipur Expressway,Delhi - Jaipur Expressway
Delhi Jaipur Expressway,Delhi - Jaipur Expressway
Delhi Ajmer Expressway,Delhi Ajmer Expressway
Delh-Ajmer Expy,Delhi Ajmer Expressway
Delhi Gurgaon Expressway,Delhi Gurgaon Expressway
Gurgaon - Delhi Expy,Delhi Gurgaon Expressway
Delhi International Airport,Delhi International Airport
Delhi Jaipur Highway,Delhi Jaipur Highway
Delhi Public School,Delhi Public School
Delhi Public School Gurugram Sector 67A,Delhi Public School Gurugram Sector 67A
"Delhi Public School, Sector 103","Delhi Public School, Sector 103"
"Delhi Public School, Sector 84","Delhi Public School, Sector 84"
Delhi Public School Sector 84,"Delhi Public School, Sector 84"
Delhi-Mumbai Expressway,Delhi-Mumbai Expressway
Dhanwapur Road,Dhanwapur Road
Dharampeth Main Road,Dharampeth Main Road
Dharampur Main Road,Dharampur Main Road
Diamond Public School,Diamond Public School
Discount Department Store,Discount Department Store
Dishoom Cinemas,Dishoom Cinemas
Domino's Pizza,Domino's Pizza
Double Infinity market,Double Infinity market
Double Tree by Hilton,Double Tree by Hilton
DoubleTree by Hilton Hotel,DoubleTree by Hilton Hotel
DoubleTree by Hilton Hotel Gurgaon,DoubleTree by Hilton Hotel Gurgaon
Dr Naveen Chawla General Physician,Dr Naveen Chawla General Physician
Dreamz Cafe,Dreamz Cafe
Drona Sports Village,Drona Sports Village
Dronacharya College of Engineering,Dronacharya College of Engineering
Duke Horse Riding Club,Duke Horse Riding Club
Dwarka Expy,Dwaraka Expressway
Dwarka Expressway,Dwaraka Expressway
Dwarka expressway,Dwaraka Expressway
Dwaraka Expressway,Dwaraka Expressway
Dwarka,Dwarka
Dwarka Expressway Link Road,Dwarka Expressway Link Road
"Dwarka Expy, Block D, New Palam Vihar","Dwarka Expy, Block D, New Palam Vihar"
"Dwarka Expy, Dhanwapur Village","Dwarka Expy, Dhanwapur Village"
"Dwarka Expy, Sector 109","Dwarka Expy, Sector 109"
"Dwarka Expy, Sector 88","Dwarka Expy, Sector 88"
Dwarka Expy/Northern Peripheral Rd,Dwarka Expy/Northern Peripheral Rd
Dwarka Sector 21,Dwarka Sector 21
Dwarka sector 21 metro station,"Dwarka Sector 21, Metro Station"
Dwarka Sector 21 Metro station,"Dwarka Sector 21, Metro Station"
Dwarka Sector 21 Metro Station,"Dwarka Sector 21, Metro Station"
"Dwarka Sector 21, Metro Station","Dwarka Sector 21, Metro Station"
Dwarka expressway Basai crossing,Dwarka expressway Basai crossing
EPF Regional Office,EPF Regional Office
ESIC Dispensary,ESIC Dispensary
ESIC Hospital,ESIC Hospital
ESIC HOSPITAL,ESIC Hospital
Early Basket Grocery shop,Early Basket Grocery shop
Edge towers tennis court,Edge towers tennis court
Ektaa Hospitals,Ektaa Hospitals
Ektaa Hospital,Ektaa Hospitals
Ektaa Hospitals  Main Sohna Rd,Ektaa Hospitals  Main Sohna Rd
Elan Miracle Mall,Elan Miracle Mall
Emaar Business Park,Emaar Business Park
Emerald Plaza,Emerald Plaza
Emerald Plaza Shopping Mall,Emerald Plaza Shopping Mall
Enkays Hospital,Enkays Hospital
Entertainland Mall,Entertainland Mall
Ernst & Young,Ernst & Young
Eros City Square,Eros City Square
Eros Corporate Park,Eros Corporate Park
Esplanade Mall,Esplanade Mall
Essar Petrol Pump,Essar Petrol Pump
"Euro Int School, Sector 37D, Gurugram","Euro Int School, Sector 37D, Gurugram"
Euro Int. School,Euro Int. School
Euro International School,Euro International School
"Euro International School, Sector 37D","Euro International School, Sector 37D"
"Euro International School, Sec 84","Euro International School, Sector 84"
"Euro International School, Sector 84","Euro International School, Sector 84"
"Euro International School, Sector- 109","Euro International School, Sector- 109."
"Euro Intl School, Sector- 109","Euro International School, Sector- 109."
"Euro International School, Sector- 109.","Euro International School, Sector- 109."
Euro Intl School Sec-51,"Euro International School, sector- 51"
"Euro International School, sector- 51","Euro International School, sector- 51"
"Euro Intl School, Sector 37D, Gurugram","Euro Intl School, Sector 37D, Gurugram"
EuroKids Preschool Suncity,EuroKids Preschool Suncity
Excellere World School,Excellere World School
Eye Doctors at Krishna Netralaya,Eye Doctors at Krishna Netralaya
F9 Go Karting Gurgaon,F9 Go Karting Gurgaon
FUEL NATION,FUEL NATION
Faridabad,Faridabad
Faridabad Gurgaon Road,Faridabad - Gurgaon Road
Faridabad - Gurgaon Rd,Faridabad - Gurgaon Road
Faridabad - Gurgaon Road,Faridabad - Gurgaon Road
Farrukh Nagar Railway Station,Farrukh Nagar Railway Station
Federal Bank Sector 71,Federal Bank Sector 71
First Step Play School,First Step Play School
"Fitso Sector 48 Spuddy, Badminton","Fitso Sector 48 Spuddy, Badminton"
Fly India Adventure Resort,Fly India Adventure Resort
Flying Wings Badminton Academy,Flying Wings Badminton Academy
Fortis Memorial Research Institute,Fortis Memorial Research Institute
Fortis hospital,Fortis hospital
Fresco Market,Fresco Market
Frescos,Frescos
Fun N Food Village,Fun N Food Village
Fun N Food Water Park,Fun N Food Water Park
Fun N Food WaterPark,Fun N Food Waterpark
Fun N Food Waterpark,Fun N Food Waterpark
GD Goenka University,G D Goenka University
Gd goenka university,G D Goenka University
G D Goenka University,G D Goenka University
